model,step,cost_jpy_mean,daily_requests,daily_jpy
google/gemma-4-31b-it,S1,0.020654612000000003,10000,206.54612000000003
google/gemma-4-31b-it,S1,0.018841668000000002,10000,188.41668
google/gemma-4-31b-it,S2,0.029039477999999997,10000,290.39477999999997
google/gemma-4-31b-it,S3,0.037829019,10000,378.29019
google/gemma-4-31b-it,S4,0.046537625000000006,10000,465.3762500000001
gpt-5.4,S1,0.6292696249999999,10000,6292.696249999999
gpt-5.4,S1,0.51393725,10000,5139.3725
gpt-5.4,S2,0.973243375,10000,9732.43375
gpt-5.4,S3,1.327738675,10000,13277.38675
gpt-5.4,S4,1.700039675,10000,17000.39675
gpt-5.4-mini,S1,0.17858307750000002,10000,1785.8307750000001
gpt-5.4-mini,S1,0.154181175,10000,1541.81175
gpt-5.4-mini,S2,0.28784532749999997,10000,2878.453275
gpt-5.4-mini,S3,0.3997784325,10000,3997.784325
gpt-5.4-mini,S4,0.5119543425,10000,5119.543425000001
moonshotai/kimi-k2.6,S1,1.5449951933333335,10000,15449.951933333334
moonshotai/kimi-k2.6,S1,0.6555438238333333,10000,6555.438238333333
moonshotai/kimi-k2.6,S2,2.3979178995000003,10000,23979.178995000002
moonshotai/kimi-k2.6,S3,2.2082089573333334,10000,22082.089573333335
moonshotai/kimi-k2.6,S4,1.8662882585,10000,18662.882585
