dish,model,step,n_total,n_ok,success_rate,ape_mean,ape_std,kcal_mean,name_accuracy,latency_ms_mean,cost_jpy_mean
conbini_bento,google/gemma-4-31b-it,S1,3,3,1.0,64.07599309153713,0.0,950.0,,2722.3333333333335,0.020654612000000003
conbini_bento,google/gemma-4-31b-it,S2,3,3,1.0,64.07599309153713,0.0,950.0,,2408.3333333333335,0.029039477999999997
conbini_bento,google/gemma-4-31b-it,S3,3,3,1.0,58.89464594127807,0.0,920.0,,2743.6666666666665,0.037829019
conbini_bento,google/gemma-4-31b-it,S4,3,3,1.0,58.89464594127807,0.0,920.0,,2838.0,0.046537625000000006
conbini_bento,gpt-5.4,S1,3,3,1.0,69.2573402417962,0.0,980.0,,2466.3333333333335,0.6292696249999999
conbini_bento,gpt-5.4,S2,3,3,1.0,75.01439263097295,9.971507239889906,1013.3333333333334,,2179.3333333333335,0.973243375
conbini_bento,gpt-5.4,S3,3,3,1.0,69.2573402417962,0.0,980.0,,2681.6666666666665,1.327738675
conbini_bento,gpt-5.4,S4,3,3,1.0,88.83131836499712,3.9886028959559643,1093.3333333333333,,2093.0,1.700039675
conbini_bento,gpt-5.4-mini,S1,3,3,1.0,69.2573402417962,0.0,980.0,,1435.3333333333333,0.17858307750000002
conbini_bento,gpt-5.4-mini,S2,3,3,1.0,69.2573402417962,0.0,980.0,,1415.6666666666667,0.28784532749999997
conbini_bento,gpt-5.4-mini,S3,3,3,1.0,69.2573402417962,0.0,980.0,,1733.3333333333333,0.3997784325
conbini_bento,gpt-5.4-mini,S4,3,3,1.0,69.2573402417962,0.0,980.0,,1375.0,0.5119543425
conbini_bento,moonshotai/kimi-k2.6,S1,3,3,1.0,110.70811744386874,28.27410283893766,1220.0,,10813.0,1.5449951933333335
conbini_bento,moonshotai/kimi-k2.6,S2,3,3,1.0,84.22567645365574,17.976390323541736,1066.6666666666667,,16684.0,2.3979178995000003
conbini_bento,moonshotai/kimi-k2.6,S3,3,3,1.0,66.37881404720783,12.962959411856882,963.3333333333334,,14505.0,2.2082089573333334
conbini_bento,moonshotai/kimi-k2.6,S4,3,3,1.0,101.49683362118596,17.976390323541732,1166.6666666666667,,10568.333333333334,1.8662882585
sukiya_gyudon,google/gemma-4-31b-it,S1,3,3,1.0,7.913669064748201,0.0,750.0,,2276.3333333333335,0.018841668000000002
sukiya_gyudon,gpt-5.4,S1,3,3,1.0,3.5971223021582737,0.0,720.0,,1909.6666666666667,0.51393725
sukiya_gyudon,gpt-5.4-mini,S1,3,3,1.0,3.5971223021582737,0.0,720.0,,1392.6666666666667,0.154181175
sukiya_gyudon,moonshotai/kimi-k2.6,S1,3,3,1.0,1.199040767386091,0.8307198117836341,703.3333333333334,,4776.333333333333,0.6555438238333333
